ra,dec,mag_model_hst-f814w,mag_model_uvista-y,mag_model_uvista-j,mag_model_uvista-h,mag_model_uvista-ks,mag_model_irac-ch1,mag_model_irac-ch2,mag_model_f115w,mag_model_f150w,mag_model_f277w,mag_model_f444w,flux_model_hst-f814w,flux_model_uvista-y,flux_model_uvista-j,flux_model_uvista-h,flux_model_uvista-ks,flux_model_irac-ch1,flux_model_irac-ch2,flux_model_f115w,flux_model_f150w,flux_model_f277w,flux_model_f444w,flux_err-cal_model_hst-f814w,flux_err-cal_model_uvista-y,flux_err-cal_model_uvista-j,flux_err-cal_model_uvista-h,flux_err-cal_model_uvista-ks,flux_err-cal_model_irac-ch1,flux_err-cal_model_irac-ch2,flux_err-cal_model_f115w,flux_err-cal_model_f150w,flux_err-cal_model_f277w,flux_err-cal_model_f444w,zpdf_med,mass_med,ssfr_med
149.7331273,2.150583208,26.74317727,26.15580992,25.47574313,24.72313336,24.714249,24.30290446,24.07621611,26.12864808,25.45333768,24.3158489,23.87977563,0.072900263,0.125220672,0.234262486,0.468539983,0.472389679,0.689982724,0.85018523,0.128392829,0.239146995,0.681805405,1.018801907,0.008871627,0.061303966,0.042679636,0.049403003,0.060130587,0.147872376,0.129421032,0.016925241,0.014439534,0.015362742,0.020839626,2.5558,9.77563,-8.87067
149.8183389,2.121821565,25.14495749,24.5174209,24.40728736,23.94038343,23.82952483,23.88349337,23.77259269,24.87089421,24.12513285,23.79538389,23.62965822,0.317699845,0.566280543,0.626736601,0.963488703,1.067063017,1.015319326,1.124508973,0.408923733,0.812731064,1.101149904,1.282734317,0.039681675,0.094651757,0.076597925,0.089490363,0.116701024,0.143700606,0.146822932,0.093161376,0.077856666,0.043651604,0.048902746,2.6117,9.52008,-8.41381
149.7952557,2.131488524,24.75895169,24.36411158,24.17561597,23.65078721,23.50097218,23.36855973,23.29196541,24.53531228,23.9167964,23.31277606,23.1956275,0.453335076,0.652161819,0.775806854,1.258012965,1.444146088,1.631458792,1.75070849,0.557025514,0.984648993,1.717471639,1.913149907,0.06044895,0.092756945,0.077271133,0.09116801,0.121395301,0.064227005,0.151673438,0.064569642,0.052490216,0.026545235,0.028681083,2.7872,9.82583,-8.45617
149.8450886,2.113425629,25.75590517,25.24201414,25.25805928,24.6843769,24.06500686,24.5306979,24.27916132,25.84107693,25.26650739,24.03813813,23.90671736,0.180983061,0.290532248,0.286270296,0.485567085,0.859008091,0.559397912,0.705237623,0.167328235,0.284051473,0.8805312,0.993832178,0.118446987,0.121553729,0.096766598,0.109399234,0.135043049,0.167749525,0.161275303,0.143658852,0.119208497,0.054559135,0.054224195,3.5856,9.71168,-8.49272
149.8045787,2.128601345,28.4677649,26.71112889,27.26313467,28.25360619,25.27994018,24.93928049,25.10942715,27.00659152,26.62883758,24.89409196,24.51826767,0.014889977,0.07508418,0.045159189,0.018136669,0.280558821,0.383961609,0.328268447,0.057195702,0.080996261,0.400279378,0.565839072,0.028149558,0.081742165,0.063473638,0.073755293,0.095087106,0.133227885,0.140899116,0.044887822,0.035320903,0.022363889,0.028205626,4.1155,9.77919,-8.59982
149.8620979,2.108217969,27.01582072,,26.45407188,25.79477994,25.23612176,25.07703087,24.90102477,26.80582682,26.06974791,24.80742052,24.54547007,0.056711575,0.000127377,0.095141775,0.174617604,0.292113277,0.338210939,0.397731595,0.068812807,0.13555041,0.433542615,0.551838468,0.014545256,0.057885643,0.047263065,0.055640712,0.074777122,0.151555765,0.120335562,0.025207042,0.020172789,0.015883343,0.018955803,3.622,9.51981,-8.54025
149.7887508,2.135063989,24.17992658,23.79911066,23.74372455,23.50382494,22.84977566,23.26989306,23.15636091,24.03008746,23.80057766,23.0632419,22.93742741,0.772732834,1.097376706,1.154809056,1.440356596,2.630811523,1.786663539,1.983607021,0.887084552,1.095894972,2.161241208,2.426772333,0.080550366,0.106139022,0.085492354,0.098727959,0.126811925,0.155490742,0.155652525,0.107512489,0.088774963,0.050235616,0.053413919,3.485,9.81031,-8.06005
149.759902,2.145825152,24.8956385,24.36068281,24.18010158,23.75034997,23.60836972,23.60125101,23.48966778,24.39315176,23.90807812,23.30231011,23.0272124,0.399709618,0.654224607,0.7726083,1.147783595,1.308133635,1.316738684,1.459260712,0.634949661,0.992587389,1.734107256,2.234163956,0.033419774,0.07721734,0.05999764,0.069762105,0.090922885,0.160738189,0.136340532,0.046334674,0.037461713,0.019389525,0.021439186,2.6868,9.79256,-8.3076
149.7630459,2.144773608,25.35308911,25.36210619,24.88640192,24.23239681,23.45271511,23.5790419,23.35392891,24.87101119,24.48791482,23.45364448,23.23220168,0.262279506,0.260110285,0.403124537,0.736277072,1.509780997,1.343950397,1.653592281,0.408879678,0.581880861,1.508489204,1.849776803,0.03430377,0.075128506,0.055370554,0.063220401,0.079543671,0.107863645,0.132171512,0.051928041,0.042179272,0.01816274,0.020473126,3.4718,10.05801,-9.06468
149.8382335,2.118092978,27.50201381,24.13130547,24.33628388,24.09724123,23.80579939,22.75792857,23.06435001,26.73799079,27.57981673,24.46259638,23.28669241,0.036240525,0.80812364,0.669092944,0.833879903,1.090637045,2.863047613,2.159036552,0.073249335,0.033734425,0.59560927,1.759231682,0.047429571,0.841828799,0.637376124,0.609952328,0.62405384,0.677363079,0.576744286,0.036090842,0.028439748,0.039330947,0.0726624,4.471,10.77092,-8.57364
149.7426745,2.15383599,24.43693883,24.19153911,24.05189483,23.50226582,23.3243835,23.15941537,23.00252555,24.18965679,23.68168077,22.94658334,22.71791934,0.609852022,0.764512089,0.869444907,1.442426435,1.699208223,1.978034458,2.28554501,0.765838653,1.222721902,2.406393599,2.97051852,0.01403243,0.061309754,0.042797021,0.049214426,0.061140216,0.160233311,0.128777432,0.016419185,0.014150775,0.01492951,0.017979309,2.7983,9.72268,-7.6139
149.8044524,2.131477917,26.40349226,25.61529234,25.38152003,24.49044591,24.40495846,24.27519811,24.03297821,26.03151838,25.10764432,24.08049079,23.89899191,0.099678868,0.206007516,0.255500638,0.580525948,0.628082388,0.70781662,0.88472585,0.140408257,0.328807921,0.846844529,1.000928912,0.079945644,0.10818923,0.083451955,0.09423577,0.115246988,0.153601306,0.159954566,0.061105869,0.061294337,0.040109598,0.048492751,2.995,9.66346,-8.48337
149.8047587,2.131534612,25.26267354,25.33897685,25.18494753,24.58896535,24.10084396,24.02736659,23.60468115,25.02955372,24.70503756,23.84961107,23.28667683,0.28505626,0.265710832,0.30621114,0.530168428,0.831117482,0.889310383,1.312585314,0.353328372,0.476414503,1.04750372,1.759256918,0.01784733,0.069878607,0.051772112,0.059491523,0.075864453,0.127393731,0.133489406,0.020237315,0.020109693,0.016000491,0.024316913,2.9147,9.56022,-7.91325
149.7452498,2.153568,26.32519601,25.93690304,25.76617685,25.71168322,24.86529298,24.41505049,24.53316319,26.06632795,25.92809114,24.79106882,24.61369171,0.107132588,0.153192951,0.179278934,0.188506666,0.411038789,0.622271345,0.558129173,0.135978054,0.154441334,0.440121388,0.518230914,0.018762997,0.064617679,0.045835824,0.052573147,0.065265759,0.148834242,0.127708528,0.021178329,0.017691425,0.014477836,0.016569946,4.8426,9.76547,-8.41724
149.7482582,2.152573502,26.29827145,25.95460261,25.5562467,25.05327914,24.26854183,24.22115006,23.88861725,26.08308214,25.50754218,23.94396351,23.51099819,0.109822524,0.15071586,0.217521065,0.345691216,0.712169333,0.743943539,1.01053905,0.133895859,0.227500905,0.96031695,1.4308718,0.126780218,0.133701449,0.101920436,0.112916646,0.133294875,0.21776039,0.174525998,0.100596223,0.083846972,0.034943648,0.037244525,3.6252,10.06786,-8.58719
149.8237223,2.1258885,25.09340785,23.74527929,23.81229961,23.17886275,23.41553123,23.14742221,23.17442461,25.44294535,23.93467841,23.57427296,23.66011942,0.333147731,1.15315659,1.084126991,1.942919919,1.562383009,2.00000516,1.950878202,0.241447026,0.968564696,1.349866493,1.247246323,0.151472786,0.416802914,0.316480861,0.32662774,0.366345056,0.391086986,0.380884609,0.111315773,0.117191599,0.063026294,0.071874754,2.5164,9.5238,-8.35323
149.8139216,2.129817559,,,27.89581539,25.76651642,24.80810672,23.34685395,22.57958678,,27.05907137,24.01173534,22.43185675,3.32E-05,0.000127377,0.025215863,0.179222871,0.433268697,1.664402738,3.374157004,9.04E-05,0.054496856,0.902206319,3.865959509,0.024496437,0.070388016,0.051718194,0.059396747,0.075188582,0.121615882,0.137388846,0.019326543,0.018550265,0.011795631,0.02344191,4.3278,11.00477,-8.20046
149.8009368,2.134658094,30.50640642,26.67471177,26.40127593,25.18497161,24.52704203,23.64512387,23.2142526,27.44746253,25.58241188,24.05700778,23.13288891,0.00227739,0.077645321,0.099882552,0.306204349,0.561284677,1.264592067,1.880610945,0.038107898,0.21234168,0.865360144,2.026956541,0.012221406,0.064081194,0.044990106,0.051563777,0.063937152,0.126305719,0.131666936,0.014140559,0.011177179,0.007040091,0.010517483,2.5772,9.85027,-8.33459
