acsf814w_dust,VISTA_Y_dust,VISTA_J_dust,VISTA_H_dust,VISTA_Ks_dust,irac_ch1_dust,irac_ch2_dust,NIRCam_F115W_dust,NIRCam_F150W_dust,NIRCam_F277W_dust,NIRCam_F444W_dust
24.611076,24.315264,24.010212,23.136286,22.796265,22.055452,21.862593,24.166525,23.284113,22.44599,21.884348
27.160204,26.919598,26.551945,25.50659,25.148375,24.614141,24.506617,26.72595,25.697405,24.868776,24.518805
25.022293,24.832306,24.625265,23.865843,23.615316,23.080645,22.974209,24.729332,23.985134,23.356651,22.987093
26.033028,25.767761,25.466297,24.51578,24.10453,23.37488,23.188276,25.610662,24.703913,23.741117,23.207874
24.557768,24.297825,24.029617,23.16224,22.830008,22.174631,22.01353,24.159117,23.313578,22.51174,22.031027
23.817533,23.81803,23.773544,23.214575,23.17385,22.895891,22.862288,23.803272,23.261982,23.073303,22.870289
25.517748,25.397026,25.181366,24.31017,24.016733,23.51475,23.407198,25.287928,24.469908,23.76811,23.419853
25.840097,25.711025,25.502079,24.691711,24.489777,24.120691,24.077654,25.61242,24.804798,24.308325,24.083336
24.127361,24.069921,23.970755,23.347776,23.227236,22.891197,22.845186,24.029327,23.421997,23.076838,22.85239
24.892883,24.531841,23.953804,22.688057,22.201239,21.543018,21.379436,24.190226,22.978445,21.883686,21.39605
29.157969,28.253044,27.243118,25.534525,24.737856,23.6919,23.406256,27.640505,25.946648,24.189127,23.433784
27.383575,26.911016,26.273497,25.005398,24.665874,24.24946,24.182539,26.53548,25.228914,24.445633,24.19132
25.157831,24.937046,24.686974,23.825096,23.503325,22.882652,22.732822,24.809649,23.976398,23.20089,22.749323
23.922327,23.669912,23.244434,22.096708,21.695435,21.043686,20.876236,23.43072,22.331343,21.39711,20.893677
28.710724,27.877226,26.998491,25.656738,25.193117,24.709875,24.624414,27.32401,25.95864,24.924902,24.634527
26.01245,25.80234,25.496725,24.558989,24.358538,24.002493,23.963709,25.64554,24.680563,24.18819,23.969322
25.606148,25.418419,25.163296,24.26658,23.97029,23.435411,23.31839,25.289328,24.41814,23.707699,23.331675
25.751312,25.43115,25.09951,24.146275,23.752062,23.024885,22.843206,25.258585,24.319561,23.390266,22.86232
26.557438,26.108511,25.668844,24.580526,24.054035,23.12815,22.881184,25.874907,24.798578,23.582054,22.906124
26.790089,26.349983,25.929218,24.911535,24.407883,23.53571,23.31125,26.129787,25.11773,23.958216,23.33303
25.934877,25.78876,25.562872,24.736,24.510584,24.112083,24.056793,25.682299,24.855354,24.311993,24.063606
25.545788,25.313007,25.030378,24.107874,23.745527,23.093208,22.93339,25.169168,24.278294,23.421396,22.950653
24.71673,24.422522,24.104294,23.140228,22.731363,21.873882,21.633442,24.253094,23.329582,22.332323,21.659521
25.213324,24.75467,24.125355,22.767029,22.353027,21.718145,21.552937,24.38901,23.021109,22.055893,21.569803
25.7525,25.314034,24.90342,23.861134,23.33341,22.378683,22.11467,25.0933,24.080223,22.851122,22.14135
25.03126,24.672235,24.067728,22.773668,22.272427,21.609072,21.436869,24.3106,23.081432,21.967861,21.453234
26.410494,26.197,25.843885,24.83397,24.599754,24.242401,24.202957,26.010332,24.982353,24.418566,24.20896
25.157848,25.061201,24.909561,24.210175,24.058037,23.731817,23.70108,24.994469,24.29856,23.903051,23.705507
24.774998,24.370836,23.845041,22.555397,22.073555,21.248665,21.01781,24.074886,22.810942,21.688278,21.041039
28.281471,27.759325,27.239391,26.02788,25.396067,24.34619,24.065508,27.478064,26.29181,24.848425,24.093313
24.697079,24.500406,24.284212,23.488459,23.201124,22.612808,22.47203,24.391813,23.623297,22.918242,22.487854
27.115768,26.777985,26.282948,25.127998,24.839178,24.45239,24.405733,26.504719,25.303898,24.635134,24.412306
24.863726,24.271217,23.511124,22.129465,21.682373,21.100605,20.954723,23.802462,22.422241,21.410072,20.969196
25.993717,25.977121,25.846092,25.107546,24.881351,24.500635,24.43378,25.920307,25.235731,24.691305,24.442017
25.488333,24.939512,24.414326,23.18244,22.545025,21.33897,20.981775,24.650124,23.450779,21.959755,21.01747
24.988272,24.769964,24.52024,23.659658,23.368605,22.802496,22.676277,24.642792,23.799816,23.09374,22.690573
24.772064,24.701118,24.58034,23.93436,23.802599,23.489496,23.454273,24.652561,24.011047,23.657139,23.459177
25.732428,25.657303,25.506977,24.775965,24.585035,24.22689,24.17465,25.590364,24.882132,24.40969,24.181429
24.474806,24.059946,23.563772,22.33075,21.856077,20.955526,20.698618,23.787569,22.565435,21.442413,20.724379
24.885298,24.720861,24.502884,23.681477,23.432405,22.942345,22.841764,24.6143,23.806965,23.196337,22.853716
26.117119,25.81307,25.494783,24.580431,24.201382,23.494822,23.325827,25.649492,24.745798,23.847101,23.343933
24.97157,24.978203,24.913668,24.326818,24.216002,23.97382,23.957367,24.965252,24.392235,24.100096,23.959969
24.933233,24.795551,24.612593,23.880955,23.703943,23.306376,23.251127,24.71039,23.976074,23.514559,23.258917
24.137848,24.003204,23.841213,23.146246,22.94824,22.483751,22.389898,23.927656,23.243385,22.731873,22.401424
27.549,26.920395,26.17252,24.849754,24.512224,24.122858,24.06343,26.468704,25.08575,24.304852,24.071375
25.83096,25.74173,25.520662,24.686802,24.520634,24.243334,24.23326,25.634825,24.795923,24.382051,24.23674
25.297705,25.235586,25.098637,24.41462,24.272272,23.97392,23.94827,25.179998,24.497671,24.130194,23.95233
25.452154,25.034979,24.365957,23.027063,22.467806,21.751276,21.575277,24.631739,23.360842,22.129284,21.591732
25.136803,24.884197,24.514591,23.441149,23.1389,22.590933,22.46661,24.686636,23.617208,22.88407,22.480927
23.648474,23.646606,23.581032,22.98178,22.879086,22.580378,22.539576,23.62545,23.048923,22.74938,22.546387
26.375914,25.969414,25.409126,24.184507,23.913885,23.532652,23.475859,25.652945,24.367334,23.724758,23.483494
25.913729,25.5788,25.114462,23.935753,23.576797,22.981686,22.842834,25.324978,24.13793,23.288544,22.8582
24.493322,24.099833,23.705519,22.667282,22.218239,21.208994,20.917734,23.887302,22.869375,21.756727,20.94931
24.912897,24.82225,24.666111,23.957064,23.79264,23.453238,23.412045,24.755684,24.048405,23.630892,23.417503
26.46024,26.231976,25.913038,24.93278,24.609838,24.078997,23.970041,26.068562,25.096512,24.340681,23.982512
26.077742,25.943357,25.707045,24.86041,24.648834,24.271173,24.223173,25.83018,24.980223,24.460903,24.229904
29.965153,29.10998,28.317202,26.745243,25.813179,24.312113,23.875471,28.676977,27.108995,25.019413,23.916267
25.788387,25.301277,24.841936,23.751802,23.194921,22.052933,21.71725,25.053982,23.980356,22.648022,21.751732
24.477785,24.431452,24.272202,23.496523,23.341297,23.028023,22.986614,24.360104,23.59862,23.197231,22.992998
25.92222,25.5094,25.087261,24.008497,23.50014,22.616644,22.383064,25.287655,24.223305,23.049309,22.406754
24.453468,24.38184,24.25586,23.593218,23.433521,23.051876,22.98914,24.328432,23.67863,23.25648,22.997849
25.634104,25.527433,25.323498,24.54298,24.37962,24.074118,24.059725,25.43678,24.64042,24.225151,24.062738
25.306072,25.239742,25.122936,24.504246,24.34903,24.00324,23.955399,25.19542,24.584425,24.182854,23.961454
25.2538,24.876287,24.476532,23.40934,22.927336,21.972551,21.701902,24.664543,23.62292,22.473461,21.730057
25.313618,25.139147,24.920578,24.133474,23.863008,23.31921,23.203876,25.03497,24.262152,23.595507,23.217285
24.971275,24.859667,24.67823,23.905464,23.70108,23.289667,23.217236,24.77472,24.014694,23.50448,23.226616
24.612835,24.345116,24.033747,23.088411,22.786633,22.125963,21.964436,24.1845,23.236849,22.482912,21.983341
25.26422,24.993004,24.71872,23.886559,23.564194,22.911497,22.757004,24.854399,24.026518,23.245104,22.773937
24.43073,24.145498,23.815704,22.842566,22.52969,21.874065,21.71178,23.971235,23.00057,22.226007,21.730244
24.643017,24.34221,23.92402,22.787325,22.436605,21.804749,21.642218,24.11633,22.982548,22.146124,21.659388
25.873232,25.751238,25.497227,24.635815,24.472214,24.20335,24.199493,25.629545,24.743921,24.337645,24.201626
24.761967,24.467278,24.161901,23.259924,22.923605,22.155176,21.953144,24.308973,23.413664,22.569382,21.976408
25.422672,25.098423,24.635696,23.444777,22.965385,22.18025,21.967564,24.840586,23.696686,22.601011,21.98856
25.562098,25.473677,25.299303,24.536926,24.372374,24.058043,24.028322,25.394777,24.636452,24.220135,24.032864
25.288385,24.845812,24.38158,23.194738,22.63674,21.59654,21.293451,24.592627,23.444803,22.138725,21.323912
27.395544,27.07194,26.54272,25.387812,25.042162,24.63502,24.572355,26.767485,25.60509,24.820312,24.58065
26.155039,25.906294,25.594131,24.61827,24.271154,23.672686,23.537357,25.7442,24.788473,23.971855,23.552298
24.443844,24.396341,24.317947,23.75971,23.645113,23.340235,23.299162,24.369408,23.82482,23.506525,23.304632
25.665941,25.554405,25.303843,24.441563,24.30446,24.079197,24.096706,25.430302,24.543402,24.19172,24.097425
25.25942,25.168135,24.936539,24.0634,23.89751,23.61585,23.594769,25.055305,24.180035,23.762243,23.59905
26.37418,26.179483,25.857174,24.86265,24.569843,24.116737,24.034393,26.011257,25.028543,24.339893,24.044413
23.736841,23.825752,23.840052,23.376556,23.27581,22.864384,22.777256,23.84732,23.442698,23.11119,22.79132
26.801943,26.090998,25.430494,24.048628,23.261608,21.737316,21.276379,25.726513,24.364582,22.518759,21.32155
25.202345,25.164116,25.037365,24.338985,24.224869,23.98558,23.985357,25.111378,24.418715,24.113382,23.987186
26.129126,25.95497,25.714699,24.867027,24.618912,24.17926,24.110195,25.838406,24.994957,24.399202,24.11826
25.449692,25.34737,25.162085,24.419464,24.247189,23.907318,23.867537,25.268415,24.515045,24.082186,23.872952
24.899818,24.88629,24.809538,24.237572,24.127642,23.85403,23.828098,24.866606,24.301188,23.999014,23.832285
24.814735,24.576288,24.288162,23.369568,23.048508,22.350016,22.170206,24.42933,23.526722,22.725935,22.190838
24.31899,24.066017,23.776335,22.861311,22.498217,21.713428,21.499744,23.91725,23.03208,22.13455,21.52345
25.586138,25.462568,25.227898,24.380194,24.18842,23.84739,23.805687,25.350704,24.493069,24.022621,23.811825
25.96401,25.767174,25.517685,24.694944,24.422987,23.902634,23.79813,25.649904,24.823639,24.16419,23.810045
25.908857,25.75119,25.537226,24.712255,24.400217,23.848866,23.719591,25.647764,24.863638,24.125166,23.733381
25.728569,25.490534,25.22774,24.365753,24.04209,23.422491,23.279392,25.356216,24.514965,23.736277,23.295282
26.123516,25.855806,25.536585,24.572742,24.211105,23.580717,23.435373,25.691944,24.741962,23.894129,23.451218
26.180565,26.06606,25.793577,24.885626,24.641651,24.275986,24.224073,25.930178,25.030651,24.453453,24.23129
25.942282,25.835579,25.589725,24.724773,24.486708,24.112925,24.054033,25.724037,24.860312,24.295525,24.061577
25.655897,25.490793,25.213106,24.314095,24.081785,23.689104,23.626497,25.360464,24.44155,23.886555,23.634708
26.29257,26.02191,25.69783,24.761366,24.414888,23.802464,23.664997,25.864313,24.91746,24.104967,23.68007
